"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"a science-fiction pastiche so [[lacking]] in originality that if you stripped away its inspirations there would be precious little left . ","a science-fiction pastiche so [[scarcity]] in originality that if you stripped away its inspirations there would be precious little left . ",0.0002449154853820801,0.9778767228126526,0,1,0,38,"Successful"
"it haunts you , you ca n't forget it , you admire its conception and are [[able]] to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire its conception and are [[incapable]] to resolve some of the confusions you had while watching it . ",0.00039201974868774414,0.9768310189247131,1,0,1,28,"Successful"
"nicks , seemingly [[uncertain]] what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly [[unbeknownst]] what 's going to make people laugh , runs the gamut from [[ancient]] parody to raunchy sex gags to formula romantic comedy . ",0.0004169344902038574,0.6835598349571228,0,1,0,60,"Successful"
"if there 's one [[thing]] this world needs less of , it 's movies about [[college]] that are written and directed by people who could n't [[pass]] an entrance exam . ","if there 's one [[asia]] this world needs less of , it 's movies about [[university]] that are written and directed by people who could n't [[col]] an entrance exam . ",0.010095298290252686,0.735775351524353,0,1,0,78,"Successful"
"[[chokes]] on its own [[depiction]] of upper-crust [[decorum]] . ","[[shoves]] on its own [[overview]] of upper-crust [[honesty]] . ",0.0003179311752319336,0.9946622252464294,0,1,0,91,"Successful"
"one of the more [[intelligent]] [[children]] 's movies to hit theaters this [[year]] . ","one of the more [[malignant]] [[brats]] 's movies to hit theaters this [[sunni]] . ",0.0003298521041870117,0.9967508912086487,1,0,1,105,"Successful"
"it provides an [[honest]] [[look]] at a community striving to anchor itself in new grounds . ","it provides an [[veritable]] [[blankly]] at a community striving to anchor itself in new grounds . ",0.0002626776695251465,0.7162718772888184,1,0,1,88,"Successful"
"what better message than ` love thyself ' could young women of any size receive ? ","what better message than ` love thyself ' could young women of any size receive ? ",0.969074010848999,0.969074010848999,0,0,1,1,"Skipped"
"the film [[will]] play equally [[well]] on both the standard and giant screens . ","the film [[alacrity]] play equally [[verywell]] on both the standard and giant screens . ",0.00028401613235473633,0.9745158553123474,1,0,1,56,"Successful"
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[cute]] as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[beatiful]] as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",0.012923657894134521,0.7286866903305054,1,0,1,56,"Successful"
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous [[cheap]] effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous [[cheep]] effects , not the least of which is rebecca romijn-stamos . ",0.09007465839385986,0.9798418879508972,0,1,0,17,"Successful"
"may be far from the best of the series , but it 's [[assured]] , [[wonderfully]] respectful of its past and [[thrilling]] enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","may be far from the best of the series , but it 's [[insured]] , [[appallingly]] respectful of its past and [[scintillating]] enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",0.00024205446243286133,0.6530184745788574,1,0,1,147,"Successful"
"although german [[cooking]] does not come readily to mind when [[considering]] the world 's [[best]] cuisine , mostly martha could [[make]] deutchland a [[popular]] destination for hungry tourists . ","although german [[cook]] does not come readily to mind when [[discusses]] the world 's [[decent]] cuisine , mostly martha could [[translating]] deutchland a [[prized]] destination for hungry tourists . ",0.003829658031463623,0.6744673252105713,1,0,1,188,"Successful"
"we know the plot 's a little crazy , but it [[held]] my interest from start to finish . ","we know the plot 's a little crazy , but it [[apprehended]] my interest from start to finish . ",0.04771488904953003,0.9227190613746643,1,0,1,45,"Successful"
"vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ","vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ",0.6120482683181763,0.6120482683181763,1,1,0,1,"Skipped"
"coughs and [[sputters]] on its own postmodern [[conceit]] . ","coughs and [[crackles]] on its own postmodern [[graceful]] . ",0.0002778172492980957,0.88429194688797,0,1,0,74,"Successful"
"a [[gorgeous]] , [[witty]] , [[seductive]] [[movie]] . ","a [[nice]] , [[spiritual]] , [[delightful]] [[imagery]] . ",0.0002468228340148926,0.0002778172492980957,1,1,1,137,"Failed"
"thanks to scott 's charismatic roger and eisenberg 's sweet [[nephew]] , roger dodger is one of the most [[compelling]] [[variations]] on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet [[neveu]] , roger dodger is one of the most [[unconvincing]] [[fluctuation]] on in the company of men . ",0.00020009279251098633,0.8907286524772644,1,0,1,96,"Successful"
"this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ","this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ",0.9991779327392578,0.9991779327392578,1,1,0,1,"Skipped"
"corny , schmaltzy and predictable , but still manages to be kind of [[heartwarming]] , nonetheless . ","corny , schmaltzy and predictable , but still manages to be kind of [[droll]] , nonetheless . ",0.012471199035644531,0.9981629252433777,1,0,1,45,"Successful"
"an occasionally funny , but overall [[limp]] , fish-out-of-water story . ","an occasionally funny , but overall [[gentle]] , fish-out-of-water story . ",0.0003293752670288086,0.994798481464386,0,1,0,23,"Successful"
"not far beneath the surface , this reconfigured [[tale]] [[asks]] disturbing questions about those things we expect from military epics . ","not far beneath the surface , this reconfigured [[annals]] [[asked]] disturbing questions about those things we expect from military epics . ",0.03903132677078247,0.7112545371055603,1,0,1,69,"Successful"
"there 's really only one good idea in this movie , but the [[director]] runs with it and presents it with an [[unforgettable]] visual panache . ","there 's really only one good idea in this movie , but the [[headmistress]] runs with it and presents it with an [[whopping]] visual panache . ",0.0008178353309631348,0.5332437753677368,1,0,1,85,"Successful"
"it 's an offbeat [[treat]] that pokes fun at the democratic exercise while also examining its significance for those who take part . ","it 's an offbeat [[broached]] that pokes fun at the democratic exercise while also examining its significance for those who take part . ",0.00045812129974365234,0.8054497838020325,1,0,1,60,"Successful"
"a broad , melodramatic estrogen opera that 's [[pretty]] [[toxic]] in its own right . ","a broad , melodramatic estrogen opera that 's [[lovely]] [[injurious]] in its own right . ",0.0006880760192871094,0.9865150451660156,0,1,0,55,"Successful"
"[[bad]] . ","[[injurious]] . ",0.000648796558380127,0.043737828731536865,0,0,0,17,"Failed"
"the man from elysian fields is a cold , bliss-less [[work]] that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the man from elysian fields is a cold , bliss-less [[collaborating]] that groans along thinking itself some important comment on how life throws us some beguiling curves . ",0.16683834791183472,0.702610969543457,0,1,0,62,"Successful"
"and if you 're not nearly moved to [[tears]] by a couple of scenes , you 've [[got]] ice water in your veins . ","and if you 're not nearly moved to [[cry]] by a couple of scenes , you 've [[ai]] ice water in your veins . ",0.0028954148292541504,0.6572846174240112,1,0,1,44,"Successful"
"this is [[human]] comedy at its most [[amusing]] , [[interesting]] and [[confirming]] . ","this is [[humans]] comedy at its most [[distracting]] , [[curiosity]] and [[stressed]] . ",0.0002639889717102051,0.8052111268043518,1,0,1,127,"Successful"
"add yet another hat to a [[talented]] head , clooney 's a [[good]] [[director]] . ","add yet another hat to a [[knack]] head , clooney 's a [[buenos]] [[dumbledore]] . ",0.00021761655807495117,0.9377710223197937,1,0,1,107,"Successful"
"the film 's hackneyed message is not [[helped]] by the [[thin]] characterizations , nonexistent [[plot]] and [[pretentious]] visual style . ","the film 's hackneyed message is not [[pomoc]] by the [[lean]] characterizations , nonexistent [[conspiracy]] and [[boastful]] visual style . ",0.0002034306526184082,0.8609291911125183,0,1,0,126,"Successful"
"far more [[imaginative]] and [[ambitious]] than the trivial , cash-in features nickelodeon has made from its other animated tv series . ","far more [[frivolous]] and [[audacious]] than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",0.000377655029296875,0.9782638549804688,1,0,1,54,"Successful"
"[[gives]] you the [[steady]] pulse of [[life]] in a [[beautiful]] city viewed through the [[eyes]] of a character who , in [[spite]] of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . ","[[anticipates]] you the [[stabilised]] pulse of [[residing]] in a [[super]] city viewed through the [[squint]] of a character who , in [[wretchedness]] of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . ",0.0002791285514831543,0.896782398223877,1,0,1,220,"Successful"
"first-time writer-director serry [[shows]] a remarkable gift for storytelling with this [[moving]] , [[effective]] [[little]] [[film]] . ","first-time writer-director serry [[denotes]] a remarkable gift for storytelling with this [[wiggle]] , [[advantageous]] [[lowest]] [[filming]] . ",0.00023609399795532227,0.5013841986656189,1,0,1,164,"Successful"
"[[directed]] in a paint-by-numbers manner . ","[[orientated]] in a paint-by-numbers manner . ",0.006377756595611572,0.9970515966415405,0,1,0,51,"Successful"
"this is the [[sort]] of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot [[device]] [[left]] standing . ","this is the [[marshalling]] of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot [[facility]] [[departure]] standing . ",0.008927404880523682,0.5088529586791992,0,1,0,117,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[ponderous]] film . ",0.0005887746810913086,0.9848582744598389,0,1,0,42,"Successful"
"by candidly detailing the politics involved in the creation of an [[extraordinary]] [[piece]] of [[music]] , ( jones ) calls our [[attention]] to the inherent conflict between commerce and creativity . ","by candidly detailing the politics involved in the creation of an [[whopping]] [[snippet]] of [[singer]] , ( jones ) calls our [[careful]] to the inherent conflict between commerce and creativity . ",0.00022035837173461914,0.7816576361656189,1,0,1,136,"Successful"
"[[candid]] and [[comfortable]] ; a film that deftly balances [[action]] and reflection as it [[lets]] you grasp and [[feel]] the [[passion]] others [[have]] for their work . ","[[franc]] and [[uneasy]] ; a film that deftly balances [[actions]] and reflection as it [[permission]] you grasp and [[olfactory]] the [[exaltation]] others [[haya]] for their work . ",0.00022560358047485352,0.6882379055023193,1,0,1,214,"Successful"
"slapstick buffoonery can tickle many a preschooler 's fancy , but when it [[costs]] a family of four about $ 40 to see a film in theaters , why [[spend]] [[money]] on a [[dog]] like this when you can [[rent]] a [[pedigree]] [[instead]] ? ","slapstick buffoonery can tickle many a preschooler 's fancy , but when it [[honorarium]] a family of four about $ 40 to see a film in theaters , why [[earmarks]] [[amount]] on a [[collie]] like this when you can [[rental]] a [[ancestral]] [[somewhat]] ? ",0.001790761947631836,0.6284111738204956,0,1,0,204,"Successful"
"( a ) [[n]] [[utterly]] [[charming]] and [[hilarious]] film that [[reminded]] me of the [[best]] of the disney [[comedies]] from the 60s . ","( a ) [[s]] [[full]] [[splendid]] and [[unfunny]] film that [[reminder]] me of the [[highest]] of the disney [[unfunny]] from the 60s . ",0.00020354986190795898,0.004759430885314941,1,1,1,172,"Failed"
"in a way , the film feels like a [[breath]] of fresh air , but only to those that allow it in . ","in a way , the film feels like a [[exhales]] of fresh air , but only to those that allow it in . ",0.05170392990112305,0.7496662139892578,1,0,1,32,"Successful"
"just one [[bad]] [[idea]] after another . ","just one [[baleful]] [[ideal]] after another . ",0.00028592348098754883,0.997654139995575,0,1,0,81,"Successful"
"will amuse and [[provoke]] [[adventurous]] adults in specialty [[venues]] . ","will amuse and [[wreak]] [[unashamed]] adults in specialty [[websites]] . ",0.0002072453498840332,0.9781155586242676,1,0,1,127,"Successful"
"like leon , it 's frustrating and still oddly [[likable]] . ","like leon , it 's frustrating and still oddly [[unlikable]] . ",0.00028270483016967773,0.9990222454071045,1,0,1,38,"Successful"
"the socio-histo-political treatise is told in [[earnest]] strides ... ( and ) personal illusion is deconstructed with poignancy . ","the socio-histo-political treatise is told in [[gravest]] strides ... ( and ) personal illusion is deconstructed with poignancy . ",0.03409630060195923,0.8964270353317261,1,0,1,29,"Successful"
"at once half-baked and [[overheated]] . ","at once half-baked and [[warming]] . ",0.00030493736267089844,0.9968642592430115,0,1,0,8,"Successful"
"there is a fabric of complex [[ideas]] here , and feelings that profoundly [[deepen]] them . ","there is a fabric of complex [[delusions]] here , and feelings that profoundly [[worsens]] them . ",0.0005751848220825195,0.9983629584312439,1,0,1,107,"Successful"
"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ","it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",0.8484613299369812,0.8484613299369812,1,1,0,1,"Skipped"
"byler [[reveals]] his characters in a way that intrigues and even fascinates us , and he never [[reduces]] the situation to simple melodrama . ","byler [[divulged]] his characters in a way that intrigues and even fascinates us , and he never [[mitigating]] the situation to simple melodrama . ",0.0003420114517211914,0.6261942386627197,1,0,1,103,"Successful"
"thekids will probably stay amused at the kaleidoscope of big , [[colorful]] characters . ","thekids will probably stay amused at the kaleidoscope of big , [[smudged]] characters . ",0.00197601318359375,0.9693396091461182,1,0,1,46,"Successful"
"why make a documentary about these [[marginal]] historical [[figures]] ? ","why make a documentary about these [[modest]] historical [[amount]] ? ",0.002431333065032959,0.785926103591919,0,1,0,85,"Successful"
"there has always been something [[likable]] about the marquis de sade . ","there has always been something [[unlikable]] about the marquis de sade . ",0.00035190582275390625,0.991332471370697,1,0,1,30,"Successful"
"a swashbuckling [[tale]] of [[love]] , betrayal , revenge and above all , faith . ","a swashbuckling [[retold]] of [[iove]] , betrayal , revenge and above all , faith . ",0.00028020143508911133,0.9155499339103699,1,0,1,62,"Successful"
"without non-stop techno or the [[existential]] overtones of a kieslowski morality tale , maelström is just another winter sleepers . ","without non-stop techno or the [[philosophical]] overtones of a kieslowski morality tale , maelström is just another winter sleepers . ",0.2064293622970581,0.6049063205718994,0,1,0,34,"Successful"
"[[dense]] with [[characters]] and contains some [[thrilling]] moments . ","[[harsh]] with [[habits]] and contains some [[hallucinatory]] moments . ",0.00019985437393188477,0.8917025327682495,1,0,1,82,"Successful"
"the title not only describes its main characters , but the [[lazy]] people behind the camera as well . ","the title not only describes its main characters , but the [[unmotivated]] people behind the camera as well . ",0.10304683446884155,0.9685156941413879,0,1,0,10,"Successful"
"what 's [[surprising]] about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly [[engage]] you . ","what 's [[baffling]] about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly [[incur]] you . ",0.0005159378051757812,0.7888538241386414,1,0,1,83,"Successful"
"reggio 's continual visual barrage is [[absorbing]] as [[well]] as thought-provoking . ","reggio 's continual visual barrage is [[assimilation]] as [[too]] as thought-provoking . ",0.0002282261848449707,0.9788267016410828,1,0,1,56,"Successful"
"a [[coarse]] and [[stupid]] gross-out . ","a [[joyless]] and [[witless]] gross-out . ",0.00032770633697509766,0.0004712343215942383,0,0,0,53,"Failed"
"in the end , we are left with something like two ships passing in the night [[rather]] than any [[insights]] into gay love , chinese society or the price one pays for being dishonest . ","in the end , we are left with something like two ships passing in the night [[perfectly]] than any [[delusions]] into gay love , chinese society or the price one pays for being dishonest . ",0.0003256797790527344,0.8793389201164246,0,1,0,95,"Successful"
"director andrew niccol ... demonstrates a [[wry]] [[understanding]] of the quirks of fame . ","director andrew niccol ... demonstrates a [[facetious]] [[perceiving]] of the quirks of fame . ",0.00021332502365112305,0.8769440054893494,1,0,1,95,"Successful"
"the draw ( for `` big bad love '' ) is a [[solid]] [[performance]] by arliss howard . ","the draw ( for `` big bad love '' ) is a [[stabilised]] [[executions]] by arliss howard . ",0.0002295374870300293,0.9757602214813232,1,0,1,91,"Successful"
"there are some [[wonderfully]] [[fresh]] [[moments]] that [[smooth]] the [[moral]] stiffness with [[human]] [[kindness]] and hopefulness . ","there are some [[appallingly]] [[loads]] [[dated]] that [[balanced]] the [[ethical]] stiffness with [[humanitarian]] [[goodness]] and hopefulness . ",0.00023311376571655273,0.8036947250366211,1,0,1,191,"Successful"
"[[fun]] , flip and terribly hip bit of cinematic [[entertainment]] . ","[[distracting]] , flip and terribly hip bit of cinematic [[droll]] . ",0.00021392107009887695,0.9002625942230225,1,0,1,72,"Successful"
"the jabs it employs are short , [[carefully]] placed and dead-center . ","the jabs it employs are short , [[severely]] placed and dead-center . ",0.26838070154190063,0.9977841377258301,1,0,1,52,"Successful"
"still , as a visual treat , the film is almost unsurpassed . ","still , as a visual treat , the film is almost unsurpassed . ",0.731951117515564,0.731951117515564,0,0,1,1,"Skipped"
"partway through watching this [[saccharine]] , easter-egg-colored [[concoction]] , you realize that it is made up of three [[episodes]] of a [[rejected]] [[tv]] show . ","partway through watching this [[wistful]] , easter-egg-colored [[spiced]] , you realize that it is made up of three [[times]] of a [[refusal]] [[tele]] show . ",0.00024813413619995117,0.5650568008422852,0,1,0,97,"Successful"
"i [[got]] a [[headache]] [[watching]] this [[meaningless]] downer . ","i [[enjoys]] a [[enigma]] [[admiring]] this [[claptrap]] downer . ",0.0002594590187072754,0.9711025953292847,0,1,0,135,"Successful"
"so , too , is this [[comedy]] about mild [[culture]] clashing in today 's new delhi . ","so , too , is this [[droll]] about mild [[crops]] clashing in today 's new delhi . ",0.014112770557403564,0.997849702835083,1,0,1,61,"Successful"
"a [[poignant]] , artfully crafted [[meditation]] on mortality . ","a [[depressing]] , artfully crafted [[zazen]] on mortality . ",0.00022584199905395508,0.9165518283843994,1,0,1,42,"Successful"
"[[exquisitely]] nuanced in mood tics and dialogue , this chamber [[drama]] is [[superbly]] acted by the deeply [[appealing]] veteran bouquet and the [[chilling]] but quite [[human]] berling . ","[[astonishingly]] nuanced in mood tics and dialogue , this chamber [[teatro]] is [[appallingly]] acted by the deeply [[recourse]] veteran bouquet and the [[appalling]] but quite [[humanitarian]] berling . ",0.00021654367446899414,0.93716961145401,1,0,1,196,"Successful"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and [[emptiness]] . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and [[empties]] . ",0.08420813083648682,0.9596025347709656,0,1,0,29,"Successful"
"majidi is an [[unconventional]] storyteller , capable of finding beauty in the most depressing [[places]] . ","majidi is an [[unorthodox]] storyteller , capable of finding beauty in the most depressing [[placements]] . ",0.0026454925537109375,0.6646591424942017,1,0,1,51,"Successful"
"i 'd have to say the star and director are the big [[problems]] here . ","i 'd have to say the star and director are the big [[themes]] here . ",0.00025266408920288086,0.9990710616111755,0,1,0,57,"Successful"
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ","it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",0.9997173547744751,0.9997173547744751,1,1,0,1,"Skipped"
"its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture [[so]] [[conspicuously]] [[lacks]] . ","its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture [[yet]] [[remarkably]] [[weakness]] . ",0.0004283785820007324,0.5974031686782837,0,1,0,119,"Successful"
"green [[might]] want to hang onto that [[ski]] [[mask]] , as robbery may be the only way to [[pay]] for his next project . ","green [[opportunities]] want to hang onto that [[alpine]] [[skin]] , as robbery may be the only way to [[owed]] for his next project . ",0.0006625056266784668,0.5933725833892822,0,1,0,121,"Successful"
"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't [[quite]] fly . ","impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't [[belle]] fly . ",0.0013100504875183105,0.5434759855270386,0,1,0,28,"Successful"
"a [[gripping]] movie , played with performances that are all understated and [[touching]] . ","a [[unfolds]] movie , played with performances that are all understated and [[afflicts]] . ",0.0002098679542541504,0.8471186757087708,1,0,1,60,"Successful"
"[[exciting]] and [[direct]] , with ghost [[imagery]] that [[shows]] just enough to [[keep]] [[us]] on our [[toes]] . ","[[scintillating]] and [[straight]] , with ghost [[pictured]] that [[shown]] just enough to [[maintains]] [[our]] on our [[shins]] . ",0.00021582841873168945,0.630780816078186,1,0,1,186,"Successful"
"it 's too self-important and [[plodding]] to [[be]] [[funny]] , and too [[clipped]] and [[abbreviated]] to [[be]] an [[epic]] . ","it 's too self-important and [[trudge]] to [[is]] [[wry]] , and too [[cultivated]] and [[asset]] to [[is]] an [[tale]] . ",0.00022667646408081055,0.3022531270980835,0,0,0,177,"Failed"
"[[intriguing]] documentary which is emotionally diluted by focusing on the story 's least interesting subject . ","[[enthralling]] documentary which is emotionally diluted by focusing on the story 's least interesting subject . ",0.07521408796310425,0.8358202576637268,1,0,1,47,"Successful"
"too [[slow]] , too [[long]] and too [[little]] [[happens]] . ","too [[lent]] , too [[along]] and too [[modest]] [[derives]] . ",0.00026482343673706055,0.03343021869659424,0,0,0,78,"Failed"
"not since freddy got fingered has a major release been [[so]] [[painful]] to sit through . ","not since freddy got fingered has a major release been [[well]] [[challenging]] to sit through . ",0.002302229404449463,0.9633044600486755,0,1,0,89,"Successful"
"characters still [[need]] to [[function]] according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ","characters still [[compels]] to [[roles]] according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",0.0008616447448730469,0.566634476184845,0,1,0,95,"Successful"
"[[tries]] to [[add]] some spice to its [[quirky]] [[sentiments]] but the [[taste]] is all too [[familiar]] . ","[[yearn]] to [[addition]] some spice to its [[strange]] [[feelings]] but the [[deliciousness]] is all too [[aware]] . ",0.0003516674041748047,0.6585254073143005,0,1,0,187,"Successful"
"it 's a grab bag of genres that do n't [[add]] up to a whole lot of [[sense]] . ","it 's a grab bag of genres that do n't [[addition]] up to a whole lot of [[vena]] . ",0.00032842159271240234,0.6137605905532837,0,1,0,43,"Successful"
"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an [[ill]] fit for this movie . ","perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an [[wicked]] fit for this movie . ",0.002029716968536377,0.5659722089767456,0,1,0,43,"Successful"
"more [[romantic]] , more emotional and ultimately more [[satisfying]] than the teary-eyed [[original]] . ","more [[sappy]] , more emotional and ultimately more [[salubrious]] than the teary-eyed [[initial]] . ",0.0002536177635192871,0.9986907839775085,1,0,1,69,"Successful"
"minority [[report]] is exactly what the title indicates , a report . ","minority [[notify]] is exactly what the title indicates , a report . ",0.04058760404586792,0.988349974155426,1,0,1,47,"Successful"
"a wildly [[inconsistent]] emotional experience . ","a wildly [[nutty]] emotional experience . ",0.0026392340660095215,0.9994614124298096,0,1,0,54,"Successful"
"... routine , harmless diversion and little else . ","... routine , harmless diversion and little else . ",0.9917792081832886,0.9917792081832886,0,0,1,1,"Skipped"
"it [[will]] grip even viewers who are n't interested in rap , as it cuts to the [[heart]] of american society in an unnerving way . ","it [[wanna]] grip even viewers who are n't interested in rap , as it cuts to the [[cardiology]] of american society in an unnerving way . ",0.0033171772956848145,0.733056902885437,1,0,1,62,"Successful"
"one of creepiest , scariest movies to come along in a long , long [[time]] , easily rivaling blair witch or the others . ","one of creepiest , scariest movies to come along in a long , long [[stardate]] , easily rivaling blair witch or the others . ",0.3499153256416321,0.9576262831687927,1,0,1,55,"Successful"
"it is [[amusing]] , and that 's all it needs to be . ","it is [[distracting]] , and that 's all it needs to be . ",0.0001977086067199707,0.99885094165802,1,0,1,16,"Successful"
"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets [[great]] laughs , but never at the [[expense]] of its characters ","based on a devilishly witty script by heather mcgowan and niels mueller , the film gets [[super]] laughs , but never at the [[fresh]] of its characters ",0.00030744075775146484,0.9151049256324768,1,0,1,111,"Successful"
"bleakly [[funny]] , its characters all the more [[touching]] for refusing to pity or memorialize themselves . ","bleakly [[humorist]] , its characters all the more [[poked]] for refusing to pity or memorialize themselves . ",0.0010491609573364258,0.9886577725410461,1,0,1,52,"Successful"
